,bt,km,transmission,ownerNo,oem,modelYear,price,Insurance Validity,Fuel Type,Seats,RTO,Features,Mileage,Engine,Max Power,Torque,Color,No of Cylinder,Values per Cylinder,Turbo Charger,Length,Width,Height,Wheel Base,Gear Box,Steering Type,Front Brake Type,Rear Brake Type,Tyre Type,No Door Numbers,City
5284,Hatchback,23683,Automatic,1,Volkswagen,2021,835000.0,Third Party insurance,Petrol,5 Seats,TS,9,16.47,999,108.62,175.0,silver,3,4,Yes,3971.0,1682.0,1469.0,2470.0,6,Electronic,Disc,Drum,Tubeless,5,Hyderabad
5286,Hatchback,48471,Manual,2,Maruti,2013,233000.0,Third Party insurance,Petrol,5 Seats,AP,9,24.39,998,65.71,89.0,silver,3,4,No,3530.0,1490.0,1520.0,2380.0,5,Power,Disc,Drum,Tubeless,5,Hyderabad
5287,Hatchback,62437,Manual,2,Maruti,2013,221000.0,Third Party insurance,Petrol,5 Seats,AP,9,24.39,998,65.71,89.0,silver,3,4,No,3530.0,1490.0,1520.0,2380.0,5,Power,Disc,Drum,Tubeless,5,Hyderabad
5288,Sedan,45000,Automatic,1,Tata,2018,549000.0,Third Party insurance,Petrol,5 Seats,TN,9,20.3,1199,84.0,114.0,blue,3,4,No,3992.0,1677.0,1537.0,2450.0,5,Power,Disc,Drum,Tubeless,4,Hyderabad
5290,Hatchback,34000,Manual,1,Maruti,2018,325000.0,Third Party insurance,Petrol,5 Seats,TS,8,24.7,796,47.3,69.0,gray,3,4,No,3430.0,1490.0,1475.0,2360.0,5,Power,Disc,Drum,Tubeless,5,Hyderabad
5291,Hatchback,45000,Manual,1,Hyundai,2008,250000.0,Third Party insurance,Petrol,5 Seats,HR,8,20.36,1197,78.9,111.7,white,4,4,No,3585.0,1595.0,1550.0,2380.0,5,Power,Disc,Drum,Tubeless,4,Hyderabad
5294,Hatchback,22907,Manual,1,Maruti,2022,650000.0,Comprehensive,Petrol,5 Seats,TS,8,22.38,1197,88.5,113.0,white,4,4,No,3845.0,1735.0,1530.0,2450.0,5,Electronic,Disc,Drum,Tubeless,5,Hyderabad
5296,Sedan,90000,Manual,2,Hyundai,2016,340000.0,Third Party insurance,Diesel,5 Seats,TS,9,24.4,1120,71.0,180.4,white,3,4,Yes,3995.0,1660.0,1520.0,2425.0,5,Power,Disc,Drum,Tubeless,4,Hyderabad
5297,Hatchback,16903,Manual,2,Maruti,2019,333000.0,Third Party insurance,Petrol,5 Seats,TS,9,24.7,796,47.3,69.0,red,3,4,No,3445.0,1490.0,1475.0,2360.0,5,Manual,Disc,Drum,Tubeless,5,Hyderabad
5298,Hatchback,36874,Automatic,1,Nissan,2018,568000.0,Third Party insurance,Petrol,5 Seats,TS,9,19.15,1198,75.94,104.0,blue,3,4,No,3825.0,1665.0,1530.0,2450.0,0,Power,Disc,Drum,Tubeless,5,Hyderabad
5300,Hatchback,29994,Manual,2,Maruti,2012,329000.0,Third Party insurance,Petrol,5 Seats,AP,9,18.9,998,67.1,90.0,silver,3,4,No,3595.0,1495.0,1700.0,2400.0,5,Power,Disc,Drum,Tubeless,4,Hyderabad
5301,Hatchback,26416,Automatic,2,Hyundai,2019,806000.0,Third Party insurance,Petrol,5 Seats,TS,9,17.4,1197,81.86,117.0,silver,4,4,No,3985.0,1734.0,1505.0,2570.0,5,Power,Disc,Drum,Tubeless,5,Hyderabad
5303,SUV,27581,Manual,2,Honda,2018,655000.0,Third Party insurance,Petrol,5 Seats,TS,9,17.5,1199,88.7,110.0,orange,4,4,No,3999.0,1734.0,1601.0,2555.0,5,Electronic,Disc,Drum,Tubeless,5,Hyderabad
5305,Sedan,88126,Manual,1,Maruti,2020,672000.0,Third Party insurance,Petrol,5 Seats,TS,9,21.21,1197,81.8,113.0,white,4,4,No,3995.0,1735.0,1515.0,2450.0,5,Power,Disc,Drum,Tubeless,4,Hyderabad
5306,SUV,72563,Automatic,1,Hyundai,2019,981000.0,Third Party insurance,Petrol,5 Seats,TS,9,18.15,998,118.35,171.6,white,3,4,Yes,3995.0,1770.0,1605.0,2500.0,7,Power,Disc,Drum,Radial,5,Hyderabad
5307,Hatchback,90000,Manual,2,Hyundai,2013,220000.0,Third Party insurance,LPG,5 Seats,AP,9,21.1,814,55.2,74.5,gray,3,3,No,3495.0,1550.0,1500.0,2380.0,5,Power,Disc,Drum,Tubeless,5,Hyderabad
5308,SUV,88060,Manual,1,Hyundai,2016,803999.0,Third Party insurance,Petrol,5 Seats,TS,9,13.0,1591,121.3,151.0,white,4,4,No,4270.0,1780.0,1630.0,2590.0,6,Power,Disc,Drum,Tubeless,5,Hyderabad
5309,Hatchback,20000,Manual,1,Maruti,2022,800000.0,Third Party insurance,Petrol,5 Seats,TS,9,22.38,1197,88.5,113.0,white,4,4,No,3845.0,1735.0,1530.0,2450.0,5,Electronic,Disc,Drum,Tubeless,5,Hyderabad
5311,Hatchback,60000,Manual,1,Hyundai,2017,600000.0,Third Party insurance,Petrol,5 Seats,TS,9,18.6,1197,81.83,114.7,others,4,4,No,3985.0,1734.0,1505.0,2570.0,5,Power,Disc,Drum,Tubeless,5,Hyderabad
5315,Hatchback,100000,Manual,2,Maruti,2013,263000.0,Third Party insurance,Petrol,5 Seats,AP,9,20.51,998,67.04,90.0,others,3,4,No,3599.0,1495.0,1700.0,2400.0,5,Power,Disc,Drum,Tubeless,5,Hyderabad
5316,Hatchback,31000,Manual,1,Hyundai,2010,245000.0,Third Party insurance,Petrol,5 Seats,AP,9,17.92,1086,62.1,96.1,red,3,4,No,3565.0,1525.0,1590.0,2380.0,5,Power,Disc,Drum,Tubeless,5,Hyderabad
5317,SUV,109271,Manual,1,Maruti,2019,777000.0,Comprehensive,Diesel,5 Seats,TS,9,24.3,1248,88.5,200.0,silver,4,4,Yes,3995.0,1790.0,1640.0,2500.0,5,Power,Disc,Drum,Tubeless,5,Hyderabad
5318,Hatchback,47844,Automatic,2,Maruti,2019,507000.0,Zero Dep,Petrol,5 Seats,TS,9,20.89,1197,81.8,113.0,silver,4,4,No,3700.0,1690.0,1595.0,2435.0,5,Electronic,Disc,Drum,Tubeless,5,Hyderabad
5320,Hatchback,62438,Manual,1,Maruti,2013,297000.0,Third Party insurance,Petrol,5 Seats,AP,9,18.9,998,67.1,90.0,blue,3,4,No,3595.0,1495.0,1700.0,2400.0,5,Power,Disc,Drum,Tubeless,4,Hyderabad
5321,Hatchback,89318,Manual,3,Hyundai,2013,411000.0,Third Party insurance,Petrol,5 Seats,AP,9,18.5,1197,82.9,113.8,white,4,4,No,3995.0,1710.0,1505.0,2525.0,5,Power,Disc,Drum,Tubeless,5,Hyderabad
5323,Hatchback,29200,Automatic,2,Hyundai,2019,529000.0,Zero Dep,Petrol,5 Seats,TS,9,20.3,1086,68.0,99.0,others,4,3,No,3610.0,1645.0,1560.0,2400.0,5,Power,Disc,Drum,Tubeless,5,Hyderabad
5327,Hatchback,90000,Manual,1,Hyundai,2011,290000.0,Third Party insurance,Petrol,5 Seats,AP,9,20.36,1197,78.9,111.8,maroon,4,4,No,3585.0,1595.0,1550.0,2380.0,5,Power,Disc,Drum,Tubeless,4,Hyderabad
5328,Hatchback,38264,Automatic,1,Hyundai,2019,525000.0,Third Party insurance,Petrol,5 Seats,TS,9,20.3,1086,68.0,99.0,silver,4,3,No,3610.0,1645.0,1560.0,2400.0,5,Power,Disc,Drum,Tubeless,5,Hyderabad
5335,Hatchback,51000,Manual,1,Ford,2010,299000.0,Third Party insurance,Diesel,5 Seats,AP,9,20.0,1399,68.0,160.0,others,4,4,No,3795.0,1680.0,1427.0,2489.0,5,Power,Disc,Drum,Tubeless,5,Hyderabad
5336,Hatchback,83462,Manual,2,Hyundai,2010,268000.0,Third Party insurance,Petrol,5 Seats,AP,9,20.36,1197,78.9,111.8,red,4,4,No,3585.0,1595.0,1550.0,2380.0,5,Power,Disc,Drum,Tubeless,4,Hyderabad
5337,Hatchback,26494,Manual,1,Renault,2021,483000.0,Third Party insurance,Petrol,5 Seats,TS,9,21.74,999,67.0,91.0,brown,3,4,No,3731.0,1579.0,1474.0,2422.0,5,Electronic,Disc,Drum,Tubeless,5,Hyderabad
5339,Hatchback,68101,Manual,1,Maruti,2018,618000.0,Comprehensive,Petrol,5 Seats,TS,9,21.4,1197,83.1,115.0,orange,4,4,No,3995.0,1745.0,1510.0,2520.0,5,Power,Disc,Drum,Tubeless,5,Hyderabad
5343,SUV,98000,Automatic,1,Maruti,2018,990000.0,Third Party insurance,Diesel,5 Seats,TS,9,24.3,1248,88.5,200.0,white,4,4,Yes,3995.0,1790.0,1640.0,2500.0,5,Power,Disc,Drum,Tubeless,5,Hyderabad
5346,Sedan,120000,Manual,1,Hyundai,2012,399000.0,Third Party insurance,Petrol,5 Seats,AP,9,17.01,1591,121.3,154.9,others,4,4,No,4375.0,1700.0,1475.0,2570.0,5,Power,Disc,Drum,Tubeless,4,Hyderabad
5347,Hatchback,119106,Manual,2,Maruti,2015,471000.0,Third Party insurance,Petrol,5 Seats,TS,9,22.38,1197,88.5,113.0,silver,4,4,No,3845.0,1735.0,1530.0,2450.0,5,Electronic,Disc,Drum,Tubeless,5,Hyderabad
5350,Hatchback,80000,Manual,1,Maruti,2019,370000.0,Third Party insurance,Petrol,5 Seats,TS,9,22.05,796,47.33,69.0,others,3,4,No,3445.0,1515.0,1475.0,2360.0,5,Power,Disc,Drum,Tubeless,5,Hyderabad
5351,Hatchback,143000,Manual,2,Maruti,2012,400000.0,Third Party insurance,Diesel,5 Seats,AP,9,22.9,1248,74.0,190.0,white,4,4,Yes,3850.0,1695.0,1530.0,2430.0,5,Power,Disc,Drum,Tubeless,5,Hyderabad
5352,Hatchback,50000,Manual,1,Maruti,2018,700000.0,Third Party insurance,Diesel,5 Seats,UNKNO,9,25.2,1248,74.0,190.0,gray,4,4,Yes,3840.0,1735.0,1530.0,2450.0,5,Power,Disc,Drum,Tubeless,5,Hyderabad
5356,Hatchback,121617,Manual,2,Maruti,2013,368000.0,Third Party insurance,Petrol,5 Seats,AP,9,22.38,1197,88.5,113.0,silver,4,4,No,3845.0,1735.0,1530.0,2450.0,5,Electronic,Disc,Drum,Tubeless,5,Hyderabad
5357,Sedan,83825,Manual,2,Volkswagen,2015,556000.0,Comprehensive,Petrol,5 Seats,TS,9,15.04,1598,103.6,153.0,white,4,4,No,4384.0,1699.0,1466.0,2552.0,5,Power,Disc,Drum,Tubeless,4,Hyderabad
5358,Hatchback,92299,Manual,1,Maruti,2014,426000.0,Not Available,Petrol,5 Seats,TS,9,18.6,1197,85.8,114.0,black,4,4,No,3850.0,1695.0,1530.0,2430.0,5,Power,Disc,Drum,Tubeless,5,Hyderabad
5359,SUV,50643,Automatic,2,Maruti,2018,961000.0,Zero Dep,Diesel,5 Seats,TS,9,24.3,1248,88.5,200.0,silver,4,4,Yes,3995.0,1790.0,1640.0,2500.0,5,Power,Disc,Drum,Tubeless,5,Hyderabad
5362,SUV,93104,Automatic,1,Hyundai,2016,951000.0,Comprehensive,Petrol,5 Seats,TS,9,13.0,1591,121.3,151.0,white,4,4,No,4270.0,1780.0,1630.0,2590.0,6,Power,Disc,Drum,Tubeless,5,Hyderabad
5364,MUV,48869,Manual,1,Datsun,2021,567000.0,Third Party insurance,Petrol,7 Seats,TS,9,19.02,1198,67.05,104.0,silver,3,4,No,3995.0,1636.0,1507.0,2450.0,5,Electronic,Disc,Drum,Tubeless,5,Hyderabad
5365,Hatchback,86555,Manual,1,Maruti,2017,298000.0,Comprehensive,Petrol,5 Seats,TS,9,24.39,998,65.71,89.0,black,3,4,No,3530.0,1490.0,1520.0,2380.0,5,Power,Disc,Drum,Tubeless,5,Hyderabad
5366,Sedan,60000,Manual,2,Volkswagen,2011,350000.0,Third Party insurance,Petrol,5 Seats,AP,9,15.04,1598,103.6,153.0,others,4,4,No,4384.0,1699.0,1466.0,2552.0,5,Power,Disc,Drum,Tubeless,4,Hyderabad
5367,MUV,39316,Manual,1,Renault,2022,674000.0,Zero Dep,Petrol,7 Seats,TS,9,20.0,999,71.01,96.0,silver,3,4,No,3991.0,1739.0,1643.0,2425.0,5,Electronic,Disc,Drum,Tubeless,5,Hyderabad
5369,Hatchback,100000,Manual,2,Tata,2016,270000.0,Third Party insurance,Diesel,5 Seats,AP,8,22.95,1248,74.0,190.0,white,4,4,Yes,3825.0,1695.0,1562.0,2470.0,5,Power,Disc,Drum,Tubeless,5,Hyderabad
5370,SUV,60000,Manual,1,Hyundai,2020,1000000.0,Third Party insurance,Petrol,5 Seats,TS,9,18.27,998,118.35,171.6,others,3,4,Yes,3995.0,1770.0,1605.0,2500.0,6,Power,Disc,Drum,Radial,5,Hyderabad
5374,SUV,19500,Automatic,1,Toyota,2022,1175000.0,Comprehensive,Petrol,5 Seats,TS,9,18.76,1462,103.26,138.0,brown,4,4,No,3995.0,1790.0,1640.0,2500.0,4,Electronic,Disc,Drum,Tubeless,5,Hyderabad
5375,Sedan,22127,Automatic,1,Honda,2021,940000.0,Comprehensive,Petrol,5 Seats,TS,9,18.3,1199,88.76,110.0,others,4,4,No,3995.0,1695.0,1501.0,2470.0,0,Electronic,Disc,Drum,Tubeless,4,Hyderabad
5376,Hatchback,78010,Manual,2,Maruti,2015,250999.0,Comprehensive,Petrol,5 Seats,TS,8,22.05,796,47.33,69.0,silver,3,4,No,3445.0,1515.0,1475.0,2360.0,5,Power,Disc,Drum,Tubeless,5,Hyderabad
5377,SUV,14087,Manual,1,Ford,2021,988000.0,Third Party insurance,Petrol,5 Seats,TS,9,15.9,1496,120.69,149.0,brown,3,4,No,3998.0,1765.0,1647.0,2519.0,5,Electronic,Disc,Drum,Tubeless,5,Hyderabad
5382,Hatchback,73944,Manual,1,Maruti,2015,266000.0,Third Party insurance,Petrol,5 Seats,TS,8,22.05,796,47.33,69.0,silver,3,4,No,3445.0,1515.0,1475.0,2360.0,5,Power,Disc,Drum,Tubeless,5,Hyderabad
5384,Hatchback,52052,Manual,2,Maruti,2017,279000.0,Third Party insurance,Petrol,5 Seats,TS,8,22.05,796,47.33,69.0,red,3,4,No,3445.0,1515.0,1475.0,2360.0,5,Power,Disc,Drum,Tubeless,5,Hyderabad
5385,Hatchback,42399,Manual,2,Hyundai,2018,465000.0,Third Party insurance,Petrol,5 Seats,TS,9,18.9,1197,81.86,113.75,white,4,4,No,3765.0,1660.0,1520.0,2425.0,5,Power,Disc,Drum,Tubeless,5,Hyderabad
5386,Sedan,50000,Manual,1,Maruti,2015,210000.0,Third Party insurance,Diesel,5 Seats,TS,9,26.59,1248,74.0,190.0,others,4,4,Yes,3995.0,1695.0,1555.0,2430.0,5,Power,Disc,Drum,Tubeless,4,Hyderabad
5389,Hatchback,101434,Automatic,1,Renault,2017,300000.0,Not Available,Petrol,5 Seats,TS,9,23.01,999,67.0,91.0,white,3,4,No,3679.0,1579.0,1478.0,2422.0,5,Power,Disc,Drum,Tubeless,5,Hyderabad
5395,Hatchback,55000,Manual,1,Hyundai,2016,290000.0,Third Party insurance,Petrol,5 Seats,TS,8,19.81,1086,68.05,99.04,red,4,3,No,3585.0,1595.0,1550.0,2380.0,5,Power,Disc,Drum,Tubeless,5,Hyderabad
5396,SUV,44641,Manual,1,Tata,2021,860000.0,Comprehensive,Petrol,5 Seats,TS,9,17.33,1199,118.35,170.0,others,3,4,No,3993.0,1811.0,1606.0,2498.0,6,Electronic,Disc,Drum,Tubeless,5,Hyderabad
5397,Hatchback,83958,Manual,1,Hyundai,2010,241000.0,Third Party insurance,Petrol,5 Seats,AP,8,20.36,1197,78.9,111.7,red,4,4,No,3585.0,1595.0,1550.0,2380.0,5,Power,Disc,Drum,Tubeless,4,Hyderabad
5399,SUV,35226,Automatic,2,Tata,2018,817000.0,Comprehensive,Petrol,5 Seats,TS,9,17.0,1198,108.5,170.0,blue,3,4,Yes,3994.0,1811.0,1607.0,2498.0,6,Power,Disc,Drum,Tubeless,5,Hyderabad
5400,Hatchback,75552,Automatic,2,Hyundai,2011,330000.0,Third Party insurance,Petrol,5 Seats,AP,9,16.95,1197,78.9,111.8,black,4,4,No,3585.0,1595.0,1550.0,2380.0,4,Power,Disc,Drum,Tubeless,4,Hyderabad
5401,Hatchback,107972,Manual,1,Hyundai,2010,185000.0,Comprehensive,Petrol,5 Seats,AP,9,20.36,1197,78.9,111.8,silver,4,4,No,3585.0,1595.0,1550.0,2380.0,5,Power,Disc,Drum,Tubeless,4,Hyderabad
5402,Sedan,46451,Manual,1,Volkswagen,2019,568000.0,Third Party insurance,Petrol,5 Seats,TS,9,19.44,999,75.0,95.0,white,3,4,No,3995.0,1682.0,1483.0,2470.0,5,Power,Disc,Drum,Tubeless,4,Hyderabad
5404,Hatchback,77415,Automatic,1,Maruti,2019,457000.0,Comprehensive,Petrol,5 Seats,TS,9,21.7,998,67.05,90.0,blue,3,4,No,3565.0,1520.0,1564.0,2380.0,0,Power,Disc,Drum,Tubeless,5,Hyderabad
5405,SUV,47314,Automatic,1,Hyundai,2020,1022000.0,Zero Dep,Petrol,5 Seats,TS,9,18.15,998,118.35,171.6,blue,3,4,Yes,3995.0,1770.0,1605.0,2500.0,7,Power,Disc,Drum,Radial,5,Hyderabad
5406,Hatchback,50000,Automatic,1,Renault,2017,312000.0,Third Party insurance,Petrol,5 Seats,TS,9,24.04,999,67.0,91.0,others,3,4,No,3731.0,1579.0,1474.0,2422.0,5,Power,Disc,Drum,Tubeless,5,Hyderabad
5407,Hatchback,120000,Manual,2,Tata,2012,117000.0,Third Party insurance,Diesel,5 Seats,TS,8,19.4,1405,70.0,135.4,others,4,4,Yes,3795.0,1695.0,1550.0,2470.0,5,Power,Disc,Drum,Tubeless,5,Hyderabad
5409,Hatchback,80000,Manual,2,Honda,2013,285000.0,Third Party insurance,Petrol,5 Seats,AP,9,19.4,1198,86.8,109.0,white,4,4,No,3610.0,1680.0,1500.0,2345.0,5,Power,Disc,Drum,Tubeless,5,Hyderabad
5413,Hatchback,30564,Automatic,1,Maruti,2019,550000.0,Comprehensive,Petrol,5 Seats,TS,9,20.52,1197,81.8,113.0,gray,4,4,No,3655.0,1620.0,1675.0,2435.0,5,Power,Disc,Drum,Tubeless,5,Hyderabad
5414,Hatchback,90000,Manual,2,Ford,2011,185000.0,Third Party insurance,Diesel,5 Seats,AA,9,20.0,1399,68.0,160.0,white,4,4,No,3795.0,1680.0,1427.0,2489.0,5,Power,Disc,Drum,Tubeless,5,Hyderabad
5415,MUV,62674,Manual,3,Datsun,2019,430999.0,Third Party insurance,Petrol,7 Seats,TS,9,19.83,1198,67.0,104.0,silver,3,4,No,3995.0,1636.0,1507.0,2450.0,5,Power,Disc,Drum,Tubeless,5,Hyderabad
5416,Hatchback,61710,Automatic,1,Honda,2018,631000.0,Third Party insurance,Petrol,5 Seats,TS,9,18.2,1199,88.7,110.0,brown,4,4,No,3955.0,1694.0,1544.0,2530.0,5,Power,Disc,Drum,Tubeless,5,Hyderabad
5421,Hatchback,60993,Manual,1,Honda,2013,347000.0,Third Party insurance,Petrol,5 Seats,AP,9,19.4,1198,86.8,109.0,red,4,4,No,3610.0,1680.0,1500.0,2345.0,5,Power,Disc,Drum,Tubeless,5,Hyderabad
5426,Hatchback,12740,Manual,1,Hyundai,2020,584000.0,Comprehensive,Petrol,5 Seats,TS,9,20.7,1197,81.86,113.8,silver,4,4,No,3805.0,1680.0,1520.0,2450.0,5,Electronic,Disc,Drum,Tubeless,5,Hyderabad
5428,Hatchback,79079,Manual,2,Hyundai,2018,400000.0,Not Available,Diesel,5 Seats,TS,9,24.0,1186,73.97,190.24,red,3,4,No,3765.0,1660.0,1520.0,2425.0,5,Power,Disc,Drum,Tubeless,5,Hyderabad
5429,Hatchback,28522,Manual,1,Tata,2022,535000.0,Comprehensive,Petrol,5 Seats,MP,9,19.33,1199,86.83,113.0,white,3,4,No,3990.0,1755.0,1523.0,2501.0,5,Electronic,Disc,Drum,Tubeless,5,Hyderabad
5434,SUV,80000,Manual,1,Mahindra,2016,310000.0,Third Party insurance,Diesel,5 Seats,TS,8,25.32,1198,77.0,190.0,red,3,4,Yes,3675.0,1715.0,1635.0,2385.0,5,Power,Disc,Drum,Tubeless,5,Hyderabad
5435,Hatchback,29011,Manual,1,Renault,2017,337000.0,Third Party insurance,Petrol,5 Seats,TS,9,23.01,999,67.0,91.0,silver,3,4,No,3679.0,1579.0,1478.0,2422.0,5,Power,Disc,Drum,Tubeless,5,Hyderabad
5436,SUV,42372,Manual,1,Kia,2020,1259000.0,Comprehensive,Petrol,5 Seats,TS,9,16.8,1497,113.43,144.0,red,4,4,No,4315.0,1800.0,1645.0,2610.0,6,Electronic,Disc,Disc,Tubeless,5,Hyderabad
5439,Hatchback,18732,Automatic,1,Maruti,2016,498000.0,Comprehensive,Petrol,5 Seats,TS,9,26.0,998,65.71,89.0,others,3,4,No,3695.0,1655.0,1555.0,2435.0,5,Electronic,Disc,Drum,Tubeless,5,Hyderabad
5440,Sedan,95417,Manual,1,Toyota,2016,470000.0,Not Available,Diesel,5 Seats,TS,9,23.59,1364,67.05,170.0,silver,4,2,Yes,4265.0,1695.0,1510.0,2550.0,5,Power,Disc,Drum,Tubeless,4,Hyderabad
5442,SUV,54000,Automatic,1,Ford,2018,894999.0,Third Party insurance,Petrol,5 Seats,TS,9,14.7,1496,120.69,149.0,black,3,4,No,3998.0,1765.0,1647.0,2519.0,6,Electronic,Disc,Drum,Tubeless,4,Hyderabad
5443,Hatchback,51237,Automatic,2,Renault,2019,426999.0,Third Party insurance,Petrol,5 Seats,TS,9,23.01,999,67.0,91.0,red,3,4,No,3679.0,1579.0,1478.0,2422.0,5,Power,Disc,Drum,Tubeless,5,Hyderabad
5444,Sedan,36140,Manual,1,Hyundai,2017,559000.0,Comprehensive,Petrol,5 Seats,TS,9,20.14,1197,81.86,113.75,white,4,4,No,3995.0,1660.0,1520.0,2425.0,5,Power,Disc,Drum,Tubeless,4,Hyderabad
5446,Hatchback,70895,Automatic,2,Maruti,2016,443000.0,Third Party insurance,Petrol,5 Seats,TS,9,26.0,998,65.71,89.0,white,3,4,No,3695.0,1655.0,1555.0,2435.0,5,Electronic,Disc,Drum,Tubeless,5,Hyderabad
5447,Hatchback,90000,Manual,1,Hyundai,2018,480000.0,Third Party insurance,Diesel,5 Seats,TS,9,24.0,1186,73.97,190.24,others,3,4,No,3765.0,1660.0,1520.0,2425.0,5,Power,Disc,Drum,Tubeless,5,Hyderabad
5448,Sedan,60000,Manual,1,Tata,2020,660000.0,Third Party insurance,Petrol,5 Seats,UNKNO,9,19.28,1199,84.82,113.0,others,3,4,No,3993.0,1677.0,1532.0,2450.0,5,Electronic,Disc,Drum,Tubeless,4,Hyderabad
5449,Hatchback,70237,Manual,1,Maruti,2007,145000.0,Third Party insurance,Petrol,5 Seats,AP,8,21.79,998,67.05,90.0,white,3,4,No,3655.0,1620.0,1675.0,2435.0,5,Power,Disc,Drum,Tubeless,5,Hyderabad
5450,Hatchback,89592,Manual,1,Hyundai,2007,165000.0,Third Party insurance,Petrol,5 Seats,AP,4,17.0,1086,81.8,113.0,blue,4,4,No,3995.0,1695.0,1505.0,2425.0,5,Power,Disc,Drum,Tubeless,5,Hyderabad
5452,Sedan,82144,Manual,1,Maruti,2014,450000.0,Third Party insurance,Diesel,5 Seats,TS,9,23.4,1248,74.0,190.0,white,4,4,Yes,3995.0,1695.0,1555.0,2430.0,5,Power,Disc,Drum,Tubeless,4,Hyderabad
5455,Hatchback,39881,Automatic,1,Hyundai,2019,531000.0,Comprehensive,Petrol,5 Seats,TS,9,20.3,1086,68.0,99.0,others,4,3,No,3610.0,1645.0,1560.0,2400.0,5,Power,Disc,Drum,Tubeless,5,Hyderabad
5456,Hatchback,12280,Manual,1,Tata,2021,744000.0,Comprehensive,Petrol,5 Seats,TS,9,18.5,1199,108.48,140.0,others,3,4,Yes,3990.0,1755.0,1523.0,2501.0,5,Electronic,Disc,Drum,Tubeless,5,Hyderabad
5459,SUV,51258,Automatic,1,Ford,2017,760000.0,Comprehensive,Petrol,5 Seats,TS,9,14.8,1497,121.36,150.0,white,3,4,No,3998.0,1765.0,1647.0,2519.0,6,Power,Disc,Drum,Tubeless,4,Hyderabad
5461,Hatchback,95178,Manual,2,Honda,2012,273000.0,Comprehensive,Petrol,5 Seats,AP,9,19.4,1198,86.8,109.0,black,4,4,No,3610.0,1680.0,1500.0,2345.0,5,Power,Disc,Drum,Tubeless,5,Hyderabad
5462,Sedan,62000,Manual,1,Volkswagen,2016,480000.0,Third Party insurance,Petrol,5 Seats,TS,9,19.44,999,75.0,95.0,gray,3,4,No,3995.0,1682.0,1483.0,2470.0,5,Power,Disc,Drum,Tubeless,4,Hyderabad
5464,Hatchback,31750,Manual,2,Tata,2021,746000.0,Zero Dep,Petrol,5 Seats,TS,9,18.5,1199,108.48,140.0,others,3,4,Yes,3990.0,1755.0,1523.0,2501.0,5,Electronic,Disc,Drum,Tubeless,5,Hyderabad
5467,Hatchback,73400,Automatic,1,Hyundai,2014,459999.0,Third Party insurance,Petrol,5 Seats,TS,9,18.9,1197,82.0,114.0,white,4,4,No,3765.0,1660.0,1520.0,2425.0,4,Power,Disc,Drum,Tubeless,5,Hyderabad
5468,Hatchback,40000,Automatic,3,Tata,2018,490000.0,Third Party insurance,Petrol,5 Seats,UNKNO,9,23.84,1199,83.83,114.0,others,3,4,No,3746.0,1647.0,1535.0,2400.0,5,Power,Disc,Drum,Tubeless,5,Hyderabad
5475,SUV,20858,Manual,1,Ford,2018,813000.0,Third Party insurance,Petrol,5 Seats,TS,9,17.0,1497,121.31,150.0,white,3,4,No,3998.0,1765.0,1647.0,2519.0,5,Power,Disc,Drum,Tubeless,4,Hyderabad
5480,Sedan,52597,Manual,2,Honda,2014,408000.0,Comprehensive,Petrol,5 Seats,TS,9,18.0,1198,86.7,109.0,others,4,4,No,3990.0,1680.0,1505.0,2405.0,5,Power,Disc,Drum,Tubeless,4,Hyderabad
5481,Hatchback,112921,Manual,3,Maruti,2015,400000.0,Not Available,Diesel,5 Seats,TS,9,25.2,1248,74.0,190.0,white,4,4,Yes,3840.0,1735.0,1530.0,2450.0,5,Power,Disc,Drum,Tubeless,5,Hyderabad
5482,Sedan,73626,Manual,1,Maruti,2014,492000.0,Third Party insurance,Diesel,5 Seats,TS,9,23.4,1248,74.0,190.0,black,4,4,Yes,3995.0,1695.0,1555.0,2430.0,5,Power,Disc,Drum,Tubeless,4,Hyderabad
5483,Hatchback,42964,Automatic,1,Renault,2018,446000.0,Third Party insurance,Petrol,5 Seats,TS,9,24.04,999,67.0,91.0,others,3,4,No,3679.0,1579.0,1478.0,2422.0,5,Power,Disc,Drum,Tubeless,5,Hyderabad
5487,Sedan,110000,Manual,1,Maruti,2019,550000.0,Third Party insurance,Diesel,5 Seats,TS,8,19.95,1248,74.02,190.0,others,4,4,Yes,3995.0,1695.0,1555.0,2430.0,5,Power,Disc,Drum,Tubeless,4,Hyderabad
5489,Hatchback,40000,Automatic,2,Tata,2020,660000.0,Third Party insurance,Petrol,5 Seats,TS,9,19.0,1199,84.82,113.0,others,3,4,No,3765.0,1677.0,1535.0,2400.0,5,Electronic,Disc,Drum,Tubeless,5,Hyderabad
5490,Sedan,90000,Manual,1,Hyundai,2015,365000.0,Third Party insurance,Diesel,5 Seats,UNKNO,9,24.4,1120,71.0,180.4,others,3,4,Yes,3995.0,1660.0,1520.0,2425.0,5,Power,Disc,Drum,Tubeless,4,Hyderabad
5492,Hatchback,45416,Automatic,1,Volkswagen,2021,900000.0,Not Available,Petrol,5 Seats,TS,9,16.47,999,108.62,175.0,gray,3,4,Yes,3971.0,1682.0,1469.0,2470.0,6,Electronic,Disc,Drum,Tubeless,5,Hyderabad
