,bt,km,transmission,ownerNo,oem,modelYear,price,Insurance Validity,Fuel Type,Seats,RTO,Features,Mileage,Engine,Max Power,Torque,Color,No of Cylinder,Values per Cylinder,Turbo Charger,Length,Width,Height,Wheel Base,Gear Box,Steering Type,Front Brake Type,Rear Brake Type,Tyre Type,No Door Numbers,City
7629,Sedan,38000,Manual,1,Hyundai,2014,325000.0,Comprehensive,Petrol,5 Seats,WB,9,19.1,1197,82.0,114.0,silver,4,4,No,3995.0,1660.0,1520.0,2425.0,5,Power,Disc,Drum,Tubeless,4,Kolkata
7630,Hatchback,60000,Manual,5,Hyundai,2013,260000.0,Third Party insurance,Petrol,5 Seats,UNKNO,9,18.5,1197,82.85,113.7,others,4,4,No,3995.0,1710.0,1505.0,2525.0,5,Power,Disc,Drum,Tubeless,5,Kolkata
7632,Sedan,60000,Manual,1,Hyundai,2015,400000.0,Third Party insurance,Petrol,5 Seats,WB,9,19.1,1197,82.0,114.0,others,4,4,No,3995.0,1660.0,1520.0,2425.0,5,Power,Disc,Drum,Tubeless,4,Kolkata
7633,SUV,4034,Manual,1,Hyundai,2022,956000.0,Comprehensive,Petrol,5 Seats,WB,9,18.27,998,118.35,172.0,blue,3,4,Yes,3995.0,1770.0,1605.0,2500.0,6,Electronic,Disc,Drum,Radial,5,Kolkata
7634,Hatchback,28614,Manual,2,Chevrolet,2014,210000.0,Comprehensive,Diesel,5 Seats,WB,9,25.44,936,56.3,142.5,silver,3,4,Yes,3640.0,1595.0,1550.0,2375.0,5,Power,Disc,Drum,Tubeless,5,Kolkata
7635,Hatchback,60000,Manual,1,Maruti,2010,240000.0,Third Party insurance,Petrol,5 Seats,UNKNO,9,18.9,998,67.1,90.0,others,3,4,No,3595.0,1495.0,1700.0,2400.0,5,Power,Disc,Drum,Tubeless,4,Kolkata
7636,Hatchback,34895,Manual,1,Maruti,2015,239000.0,Comprehensive,Petrol,5 Seats,WB,9,22.74,796,47.3,69.0,white,3,4,No,3395.0,1490.0,1475.0,2360.0,5,Power,Disc,Drum,Tubeless,5,Kolkata
7637,Hatchback,5891,Automatic,1,Maruti,2021,861000.0,Comprehensive,Petrol,5 Seats,WB,9,19.56,1197,81.8,113.0,silver,4,4,No,3995.0,1745.0,1510.0,2520.0,0,Electronic,Disc,Drum,Tubeless,5,Kolkata
7639,Hatchback,17776,Automatic,2,Maruti,2020,598000.0,Comprehensive,Petrol,5 Seats,WB,9,20.89,1197,81.8,113.0,blue,4,4,No,3700.0,1690.0,1595.0,2435.0,5,Electronic,Disc,Drum,Tubeless,5,Kolkata
7641,Hatchback,10667,Automatic,1,Maruti,2020,559000.0,Comprehensive,Petrol,5 Seats,WB,9,20.52,1197,81.8,113.0,silver,4,4,No,3655.0,1620.0,1675.0,2435.0,5,Power,Disc,Drum,Tubeless,5,Kolkata
