,bt,km,transmission,ownerNo,model,modelYear,centralVariantId,variantName,price,Insurance Validity,Fuel Type,Transmission,Features,Comfort & Convenience,Safety,Mileage,Torque,Color,Engine Type,Displacement,No of Cylinder,Values per Cylinder,Value Configuration,Fuel Suppy System,BoreX Stroke,Compression Ratio,Turbo Charger,Super Charger,Length,Width,Height,Wheel Base,Front Tread,Rear Tread,Kerb Weight,Gross Weight,Gear Box,Drive Type,Seating Capacity,Steering Type,Turning Radius,Front Brake Type,Rear Brake Type,Top Speed,Acceleration,Tyre Type,No Door Numbers,Cargo Volumn,Wheel Size,City,RPM_BHP,Power_RTO
3486,7.0,53488,1,1,50,2016,885,342,540000.0,4.0,4,1,9,10,13,15.85,140.0,138,396.0,1499.0,4.0,4.0,3.0,23.0,102.0,11.0,1.0,1.0,3999.0,1765.0,1708.0,2520,1519.0,1524.0,1200.0,1670.523356,5,12.0,5.0,6.0,5.01860252,22.0,7.0,174.018972,16.0,26.0,5.0,346.0,15.66402379,2,4510.4,6349.0
3487,4.0,29000,1,1,290,2019,7305,542,1749000.0,2.0,1,1,9,10,13,13.68,343.0,138,111.0,2393.0,4.0,4.0,3.0,6.0,51.37463617,12.45229249,5.0,1.0,4735.0,1830.0,1795.0,2750,1540.0,1540.0,1840.0,2430.0,5,16.0,7.0,6.0,5.4,5.0,7.0,174.018972,12.79590584,26.0,5.0,402.7427254,16.0,2,2947.51,3453.0
3489,8.0,68192,1,1,180,2019,7077,1807,627000.0,5.0,4,1,9,10,13,21.21,113.0,57,291.0,1197.0,4.0,4.0,3.0,49.0,51.37463617,12.45229249,1.0,1.0,3995.0,1735.0,1515.0,2450,1530.0,1520.0,1211.483843,1670.523356,5,12.0,5.0,6.0,5.01860252,5.0,7.0,174.018972,12.6,26.0,4.0,378.0,15.66402379,2,4281.8,6116.0
3491,8.0,13000,0,1,99,2020,5435,489,4625000.0,5.0,4,0,9,10,13,10.8,320.0,138,344.0,1997.0,4.0,4.0,3.0,23.0,51.37463617,12.45229249,5.0,1.0,5067.0,2091.0,1457.0,2960,1605.0,1594.0,1729.0,2250.0,8,16.0,5.0,6.0,5.01860252,5.0,2.0,234.0,7.0,26.0,4.0,505.0,17.0,2,4101.893989,6060.0
3492,7.0,67756,1,1,183,2018,4298,1769,772000.0,5.0,1,1,9,10,13,24.3,200.0,9,218.0,1248.0,4.0,4.0,3.0,6.0,13.0,12.45229249,5.0,1.0,3995.0,1790.0,1640.0,2500,1478.635627,1479.284494,1185.0,1680.0,5,12.0,5.0,6.0,5.2,22.0,7.0,172.0,12.36,26.0,5.0,328.0,15.66402379,2,1838.5,4108.0
3493,7.0,83811,1,1,178,2017,6025,1012,587000.0,5.0,1,1,9,10,13,25.1,200.0,116,218.0,1248.0,4.0,4.0,3.0,17.0,16.0,12.45229249,5.0,1.0,4300.0,1785.0,1595.0,2600,1478.635627,1479.284494,1211.483843,1670.0,5,12.0,5.0,6.0,5.5,5.0,2.0,174.018972,13.42,26.0,5.0,353.0,15.66402379,2,1838.5,4108.0
3494,2.0,68000,1,1,160,2016,3984,1175,410000.0,2.0,0,1,8,10,13,31.79,78.0,138,294.0,998.0,3.0,4.0,3.0,47.0,30.0,11.0,1.0,1.0,3600.0,1600.0,1560.0,2425,1420.0,1410.0,915.0,1350.0,5,12.0,5.0,6.0,5.01860252,22.0,7.0,174.018972,15.05,23.0,5.0,235.0,15.66402379,2,3558.2,6063.0
3496,8.0,46243,1,1,180,2020,7077,1807,642000.0,2.0,4,1,9,10,13,21.21,113.0,116,291.0,1197.0,4.0,4.0,3.0,49.0,51.37463617,12.45229249,1.0,1.0,3995.0,1735.0,1515.0,2450,1530.0,1520.0,1211.483843,1670.523356,5,12.0,5.0,6.0,5.01860252,5.0,7.0,174.018972,12.6,26.0,4.0,378.0,15.66402379,2,4281.8,6386.0
3497,8.0,37000,0,1,199,2014,4562,702,2700000.0,2.0,4,0,9,10,13,9.26,370.0,8,433.0,3498.0,6.0,4.0,3.0,32.0,161.0,10.7,5.0,1.0,4940.0,2075.0,1416.0,2874,1594.0,1626.0,1735.0,2220.0,7,16.0,4.0,6.0,5.01860252,22.0,25.0,174.018972,12.79590584,26.0,4.0,520.0,18.0,2,5351.893989,6888.0
3498,2.0,52123,0,2,226,2015,5857,1915,366000.0,2.0,4,0,9,10,13,19.34,104.0,138,1.0,1198.0,3.0,4.0,3.0,35.26919603,98.0,9.8,1.0,1.0,3825.0,1665.0,1530.0,2450,1478.635627,1479.284494,1070.0,1670.523356,5,12.0,5.0,6.0,5.01860252,22.0,7.0,174.018972,14.0,26.0,5.0,251.0,15.66402379,2,4101.893989,6041.0
3500,2.0,23690,1,1,77,2015,1546,1636,447000.0,5.0,4,1,9,10,13,18.9,113.75,138,320.0,1197.0,4.0,4.0,3.0,49.0,51.37463617,12.45229249,1.0,1.0,3765.0,1660.0,1520.0,2425,1479.0,1493.0,935.0,1670.523356,5,12.0,5.0,6.0,5.01860252,5.0,7.0,174.018972,12.9,26.0,5.0,256.0,14.0,2,4081.86,6116.0
3503,7.0,56000,0,2,96,2018,4997,1421,3875000.0,2.0,1,0,9,10,13,16.38,430.0,8,236.0,1999.0,4.0,4.0,3.0,6.0,135.0,12.45229249,5.0,1.0,4731.0,2175.0,1651.0,2874,1641.0,1654.0,1775.0,2460.0,8,12.0,5.0,6.0,5.01860252,5.0,2.0,174.018972,9.0,26.0,5.0,508.0,19.0,2,2601.893989,4108.0
3504,8.0,12651,1,2,63,2017,1215,2099,761000.0,2.0,4,1,9,10,13,17.8,145.0,138,469.0,1497.0,4.0,4.0,8.0,69.0,37.0,10.3,1.0,1.0,4440.0,1695.0,1495.0,2600,1480.0,1465.0,1049.0,1670.523356,5,12.0,5.0,6.0,5.01860252,5.0,7.0,174.018972,10.0,26.0,4.0,510.0,15.0,2,4717.3,6988.0
